classe,f_centro_gravidade,f_media,f_percentil99
0,1744.9251714877148,0.036569213243246745,1.0670408148089923
0,1794.1764011260948,0.05942571362438392,1.4510057353275447
0,1808.5647238740778,0.08712897441665575,1.5314636796628807
0,1787.3108288918536,0.04823883217094262,0.9960706225636691
0,1746.282902634916,0.05667609735092418,1.2525937135115057
0,1786.192982440202,0.22960588114393582,2.0572924130695367
0,1695.0637510867214,0.03481558546453586,0.7689751229272989
0,1794.3790783342208,0.12706661661298005,1.8104102406965044
0,1746.2656991567453,0.07397873355157268,1.3409312227045054
0,1767.6323937616444,0.15813306966176857,2.054805274865501
2,1426.8212678448856,0.23190329274776805,1.1479574958575718
2,1248.012891392249,0.0,0.5993225026358104
2,1381.9696268509065,0.3874678887665639,4.474828364529285
2,1277.9450689618552,0.25027268925183127,2.840463886933329
2,1223.642437206458,0.3961363843808269,3.3104632555396436
2,1147.1255377979785,0.2864447017933967,2.3590800239862437
2,1427.9106266494657,0.19397319566715096,1.60461198378429
2,1385.8956181819228,0.37589624466037375,3.3064679620352897
2,1226.3836580730112,0.21394605212401135,1.4100637354901246
2,1240.6851068247497,0.014947836561185297,0.4648669089183975
1,1763.0783950622892,1.0,1.2760315991911706
1,1534.2954670853987,0.06951427737469008,0.20131392369028325
1,1623.3196213637561,0.4555184501706898,0.6426602801240776
1,1571.4721873504348,0.25597458966727415,0.40603092414124065
1,1585.1023500517692,0.34452709762252254,0.5450041925110384
1,1565.378912812567,0.3486459188734562,0.5381685870008301
1,1721.87965649668,0.3144604695618351,0.4240809172774815
1,1695.5571593449401,0.2447149211057255,0.39088590979760685
1,1712.3457292501748,0.11189440107583443,0.21933544015416534
1,1618.2635440196154,0.2698918877791183,0.3781741561340288
